headword_as_printed	expanded_form	inflection	pos	glosses	source_page	image_verified	scan_url
Ախտաժէտ		ժէտաց	a.	sick; ill; of a bad constitution or temperament; unhealthy.; sick, ill, of a bad constitution or temperament	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտաժէտութիւն			s.	bad temperature; indisposition; languor; sickness; cacochymy.; bad temperature, indisposition, languor, sickness, cacochymy.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտալից			a.	full of diseases; ill; vicious; bad; passionate.; full of diseases, ill; vicious, bad, passionate.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտակիր			a.	subject to diseases or passions.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտակից			a.	that has the same sickness; compassionate	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտակրեմ		եցի	vn.	to be ill; to suffer.; to be ill, to suffer.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտակրութիւն			s.	illness; sickness; distemper; suffering.; illness, sickness, distemper	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտակցաբար			ad.	with compassion; pity.; with compassion, pity.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտակցեմ		եցի	vn.	to have compassion; to compassionate; to pity.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտակցիմ		եցայ	vn.	to have compassion; to compassionate; to pity.; to have compassion, to compassionate, to pity.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտակցութիւն			s.	compassion; pity; vice; passion.; compassion, pity; vice, passion.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտահալած			a.	that drives away or cures diseases.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտամոլ		ից	a.	vicious; lascivious.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտամոլութիւն			s.	concupiscence; luxury.; concupiscence, luxury.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտանամ		ացայ	vn.	to be sick or ill; to have bad habits; to be vicious.; to have bad habits, to be vicious.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտասէր			a.	that loves vices; vicious; devoted to passions.; that loves vices, vicious, devoted to passions.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտասիրութիւն			s.	sensuality; love of vice; dishonest desires.; sensuality, love of vice, dishonest desires.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտասպան			a.	that mortifies or controls his passions.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտարանք		կաց	s. pl.	lot; disposition; nature; fate; lot, disposition, nature, fate; natural, physical	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտարանք		կաց	s. pl.	natural; physical; lot, disposition, nature, fate; natural, physical	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտարար			a.	morbific.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտարծարծ			a.	that excites illness; bad passions; that excites illness, bad passions	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտարմոլ			s.	astrologer; one who professes judiciary astrology; magician; sorcerer.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտարմուխ			s.	astrologer; one who professes judiciary astrology; magician; sorcerer.; astrologer, one who professes judiciary astrology, magician, sorcerer.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտարք		րաց	s. pl.	horoscope; nativity; stars.; horoscope, nativity, stars.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտացեալ			a.	ill; unwell.; ill, unwell.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտացոյց			a.	symptomatic.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտացուցանեմ		ուցի	va.	to make [one ill].; to make one ill.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտաւոր			a.	vicious; passionate; ill; infirm; morbid.; vicious, passionate; ill, infirm	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտաւորութիւն			s.	illness; malady; bad disposition; vice; passion.; illness, malady; bad disposition, vice, passion.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ած		ածոյ	s.	shooting; slip; cutting.; shooting, slip, cutting.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ածական			a.	adjective.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ածականաբար			ad.	adjectively.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ածանցական			a.	derivative.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ածանցեմ		եցի	va.	to derive.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ածանցիմ		եցայ	vn.	to be derived from; to come from.; to be derived from, to come from.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ածանցութիւն			s.	derivation; origin; formation.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ածանցումն			s.	derivation; origin; formation.; derivation, origin, formation.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ածելեմ		եցի	va.	to raze.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ածելի			s.	razor.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ածեմ		ածի	va.	to carry; to fetch; to bring; to strike; to carry, to fetch, to bring	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ածխագործ			s.	coal-man; charcoal-dealer.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ածխակէզ առնեմ			va.	to burn like [coal].; to burn like coal.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ածխահանք			s.	coal-pit; coal-mine.; coal-pit, coal-mine.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ածխանամ		ացայ	vn.	to become coal.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ածխանոց			s.	coal-house.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ածխավաճառ					dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ածու		ոյ	s.	nation; people; bed of a garden; parterre.; nation, people	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ածուխ		ածխոյ	s.	coal; charcoal.; coal; charcoal.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակահ			a.	having a knowledge of, well versed.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակաղձեալ			a.	filled, full	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակաղձուն			a.	filled, full	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակամայ		ից, այց	a.	involuntarily; by force, with regret, reluctantly; involuntary; forced, constrained.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակամայ		ից, այց	a.	involuntary; forced, constrained.; involuntary; forced, constrained.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակամայութիւն			s.	the state of being involuntary; repugnance, reluctance, constraint, necessity.; the state of being involuntary; repugnance, reluctance, constraint, necessity.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ական			s.	mine, moat	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականակապ			a.	ornamented or inlaid with precious stones, worked in jewels.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականակիտ			a.	limpid, clear.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականակուռ			S.		dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականահատ		աց	s.	miner; thief, a body snatcher.; miner; thief, a body snatcher.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականամոմ			s.	propolis.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականայիտ					dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականատ			s.	trap	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականատես		ից, աց	a.	ocular, witnessed by the eye; visible, apparent; ocular, witnessed by the eye; visible, apparent	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականատեսութիւն			s.	act of seeing with one's own eyes.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականաւոր			a.	that has eyes; signal, illustrious, famous.; that has eyes: signal, illustrious, famous.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականեմ		եցի	va.	to look at, to see, to cast eyes upon.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականի			a.	that has eyes, that sees.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականողիք		ղեաց	s. pl.	the eyes, the looks.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականջ		ի, ջաց	s.	ear	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականջալուր			a.	auricular; that has heard; that is heard; auricular: that has heard; that is heard	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականջամուտ			s.	ear-wig.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականջացաւ			s.	ear-ache; who suffers malady of the ear.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականջեմ		եցի	vn.	to listen, to hear, to be attentive.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականջթոռ			s.	lobe of the ear.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակասանք			s.	garrison; the inhabitants of the citadel.; garrison; the inhabitants of the citadel.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակառն			s.	citadel, castle, fortress.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակաստան			s.	surety, shelter	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակատ		աց	s.	agate; boat, skiff.; agate: boat, skiff.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակիշ		ակշի	s.	hook, hasp; a sort of iron shovel.; hook, hasp; a sort of iron shovel.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակմբահոյլ			a.	assembled in a circle.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակմբիմ		եցայ	vn.	to assemble, to form a circle.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակն		ական, ակունք	s.	eye; sight, look; bud, germ; hope, expectation; opinion, suspicion; source, origin; water-spout, spring; hole, stitch; ring, link	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակն		ական, ակունք	s.	precious stone, jewel, gem; pearl; cameo; source, origin; water-spout, spring; hole, stitch; ring, link	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակն		ական, ակունք	s.	source, origin; water-spout, spring; hole, stitch; ring, link; source, origin; water-spout, spring; hole, stitch; ring, link	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակնաբոյժ			s.	oculist.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակնագործ			s.	jeweller, lapidary, worker of precious stones.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականջաման			s.	pavilion (of the ear).	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականջատ			a.	whose ears are cut.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ականջկրկիտ			s.	ear-pick.	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակճիռ			s.	sole of the foot	dict-041.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ակնախտիղ, Ակնախտիտ			a.	dazzling.	dict-042.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf19.jpg
